分类: ☘️浙江频道, 名称: 绍兴文化影院, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 38 ms, 最高速率: 1.81 MiB/s, 平均速率: 1.81 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️浙江频道, 名称: 海宁新闻综合, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 575 ms, 最高速率: 0.35 MiB/s, 平均速率: 0.35 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️浙江频道, 名称: 永嘉新闻综合, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 59 ms, 最高速率: 5.61 MiB/s, 平均速率: 5.61 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️浙江频道, 名称: 绍兴公共, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 57 ms, 最高速率: 0.82 MiB/s, 平均速率: 0.82 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️浙江频道, 名称: 普陀电视台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 36 ms, 最高速率: 3.06 MiB/s, 平均速率: 3.06 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️浙江频道, 名称: 松阳综合, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 317 ms, 最高速率: 2.77 MiB/s, 平均速率: 2.77 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️浙江频道, 名称: 新昌生活, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 103 ms, 最高速率: 2.94 MiB/s, 平均速率: 2.94 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️浙江频道, 名称: 新昌新闻综合, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 30 ms, 最高速率: 4.03 MiB/s, 平均速率: 3.72 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️浙江频道, 名称: 文成综合, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 178 ms, 最高速率: 2.73 MiB/s, 平均速率: 2.42 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️浙江频道, 名称: 普陀新闻综合, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 492 ms, 最高速率: 2.18 MiB/s, 平均速率: 2.18 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
