央视,#genre#
CCTV7,http://42.237.223.102:8899/rtp/225.1.4.76:1105
CCTV7,http://42.237.223.102:8899/rtp/225.1.4.7:1036
CCTV7,http://111.199.3.230:8686/rtp/239.3.1.61:8104
CCTV7,http://42.227.89.86:9003/hls/7/index.m3u8
CCTV7,http://171.43.64.195:9901/tsfile/live/faacts/0007_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://220.187.221.205:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://1.197.203.33:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://115.227.214.223:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://114.245.199.54:85/tsfile/live/7/1007_1.m3u8?key=txiptv
CCTV7,http://123.55.237.68:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://171.124.177.38:9999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://60.25.222.180:85/tsfile/live/57/1013.m3u8?key=txiptv
CCTV7,http://60.187.244.160:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://123.120.0.171:4022/rtp/239.3.1.175:8001
CCTV8,http://123.120.0.171:4022/rtp/239.3.1.85:4120
CCTV8,http://113.25.105.225:10000/rtp/239.1.1.15:8015
CCTV8,http://123.14.80.113:9003/hls/8/index.m3u8
CCTV8,http://115.58.142.128:4000/rtp/225.1.4.161:1197
CCTV8,http://114.250.17.90:4022/rtp/239.3.1.175:8001
CCTV8,http://114.250.17.90:4022/rtp/239.3.1.85:4120
CCTV8,http://123.112.242.16:5555/rtp/239.3.1.175:8001
CCTV8,http://123.112.242.16:5555/rtp/239.3.1.85:4120
CCTV8,http://171.124.1.122:8083/rtp/226.0.2.211:9600
CCTV8,http://171.124.1.122:8083/rtp/226.0.2.25:8112
CCTV8,http://27.10.213.135:8005/rtp/225.0.4.137:7980
CCTV8,http://27.10.213.135:8005/rtp/225.0.4.141:7980
CCTV8,http://42.237.223.102:8899/rtp/225.1.4.161:1197
CCTV8,http://111.199.3.230:8686/rtp/239.3.1.175:8001
CCTV8,http://111.199.3.230:8686/rtp/239.3.1.85:4120
CCTV8,http://42.227.89.86:9003/hls/8/index.m3u8
CCTV8,http://171.43.64.195:9901/tsfile/live/faacts/0008_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://220.187.221.205:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://1.197.203.33:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://115.227.214.223:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://114.245.199.54:85/tsfile/live/8/1008_1.m3u8?key=txiptv
CCTV8,http://123.55.237.68:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://171.124.177.38:9999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://60.25.222.180:85/tsfile/live/61/1014.m3u8?key=txiptv
CCTV8,http://60.187.244.160:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://123.120.0.171:4022/rtp/239.3.1.62:8112
CCTV9,http://113.25.105.225:10000/rtp/239.1.1.16:8016
CCTV9,http://123.14.80.113:9003/hls/9/index.m3u8
CCTV9,http://115.58.142.128:4000/rtp/225.1.4.77:1106
CCTV9,http://115.58.142.128:4000/rtp/225.1.4.9:1038
CCTV9,http://114.250.17.90:4022/rtp/239.3.1.62:8112
CCTV9,http://123.112.242.16:5555/rtp/239.3.1.62:8112
CCTV9,http://171.124.1.122:8083/rtp/226.0.2.161:9200
CCTV9,http://171.124.1.122:8083/rtp/226.0.2.26:8120
CCTV9,http://27.10.213.135:8005/rtp/225.0.4.131:7980
CCTV9,http://27.10.213.135:8005/rtp/225.0.4.5:7980
CCTV9,http://42.237.223.102:8899/rtp/225.1.4.77:1106
CCTV9,http://42.237.223.102:8899/rtp/225.1.4.9:1038
CCTV9,http://111.199.3.230:8686/rtp/239.3.1.62:8112
